Título,Consola,Año,Género,Distribuidora,Ventas NA(M),Ventas EU(M),Ventas JP(M),Ventas otras regiones,Ventas globales,Nivel de ventas globales
Dora's Big Birthday Adventure,Wii,2010,Misc,Take-Two Interactive,0.1,0.01,0.0,0.01,0.11,Bajo
Tokimeki Memorial: Girl's Side 2nd Season,DS,2008,Adventure,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11,Bajo
Disney's Peter Pan: Return to Never Land,GBA,2002,Platform,Ubisoft,0.08,0.03,0.0,0.0,0.11,Bajo
The Fairly Odd Parents: Breakin Da Rules,XB,2003,Platform,THQ,0.08,0.02,0.0,0.0,0.11,Bajo
Monkey Island: Special Edition Collection,PS3,2011,Adventure,Activision,0.0,0.08,0.0,0.03,0.11,Bajo
Capcom vs. SNK 2 EO,GC,2002,Fighting,Capcom,0.09,0.02,0.0,0.0,0.11,Bajo
Hot Wheels Velocity X,GC,2002,Racing,THQ,0.09,0.02,0.0,0.0,0.11,Bajo
Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi,3DS,2015,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,Bajo
Spyborgs,Wii,2009,Action,Capcom,0.1,0.01,0.0,0.01,0.11,Bajo
American Girl: Julie Finds a Way,DS,2007,Adventure,THQ,0.1,0.0,0.0,0.01,0.11,Bajo
Contra Advance: The Alien Wars EX,GBA,2002,Shooter,Konami Digital Entertainment,0.08,0.03,0.0,0.0,0.11,Bajo
Jikkyou Powerful Pro Baseball 2016,PS3,2016,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11,Bajo
The History Channel: Battle for the Pacific,Wii,2007,Shooter,Activision,0.1,0.0,0.0,0.01,0.11,Bajo
18 Wheels of Steel: Extreme Trucker 2,PC,2011,Racing,Rondomedia,0.08,0.02,0.0,0.01,0.11,Bajo
Happy Feet Two,3DS,2011,Action,Warner Bros. Interactive Entertainment,0.08,0.02,0.0,0.01,0.11,Bajo
Army Men: RTS,PS2,2002,Strategy,3DO,0.05,0.04,0.0,0.01,0.11,Bajo
Mobile Suit Gundam: MS Sensen 0079,Wii,2007,Simulation,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,Bajo
Pinball Hall of Fame: The Williams Collection,PSP,2008,Misc,System 3 Arcade Software,0.09,0.01,0.0,0.01,0.11,Bajo
Space Chimps,X360,2008,Platform,Brash Entertainment,0.1,0.0,0.0,0.01,0.11,Bajo
The Spiderwick Chronicles,X360,2008,Action,Vivendi Games,0.09,0.01,0.0,0.01,0.11,Bajo
Project CARS,PC,2015,Racing,Slightly Mad Studios,0.0,0.1,0.0,0.01,0.11,Bajo
Green Lantern: Rise of the Manhunters,DS,2011,Action,Warner Bros. Interactive Entertainment,0.08,0.02,0.0,0.01,0.11,Bajo
Eragon,PSP,2006,Action,Vivendi Games,0.1,0.0,0.0,0.01,0.11,Bajo
Shin Kamaitachi no Yoru: 11 Hitome no Suspect,PS3,2011,Adventure,THQ,0.0,0.0,0.11,0.0,0.11,Bajo
Guitar Rock Tour,DS,2007,Misc,Gameloft,0.1,0.0,0.0,0.01,0.11,Bajo
Mortal Kombat: Deception,GC,2005,Fighting,Midway Games,0.09,0.02,0.0,0.0,0.11,Bajo
ESPN NHL Hockey,XB,2003,Sports,Sega,0.08,0.02,0.0,0.0,0.11,Bajo
Monster Lab,PS2,2008,Role-Playing,Eidos Interactive,0.05,0.04,0.0,0.01,0.11,Bajo
XXX,GBA,2002,Action,Activision,0.08,0.03,0.0,0.0,0.11,Bajo
Machinarium,PC,2009,Adventure,Daedalic,0.0,0.09,0.0,0.02,0.11,Bajo
The Smurfs 2,PS3,2013,Platform,Ubisoft,0.02,0.07,0.0,0.02,0.11,Bajo
Maximum Force,PS,1997,Shooter,GT Interactive,0.06,0.04,0.0,0.01,0.11,Bajo
NCIS 3D,3DS,2011,Adventure,Ubisoft,0.06,0.04,0.0,0.01,0.11,Bajo
Worms Forts: Under Siege,PS2,2004,Strategy,Acclaim Entertainment,0.05,0.04,0.0,0.01,0.11,Bajo
Alvin and the Chipmunks: Chipwrecked,DS,2011,Misc,505 Games,0.07,0.03,0.0,0.01,0.11,Bajo
Totally Spies! Totally Party,Wii,2008,Misc,Ubisoft,0.09,0.01,0.0,0.01,0.11,Bajo
Smash Court Tennis 3,X360,2007,Sports,Atari,0.08,0.02,0.0,0.01,0.11,Bajo
ATV Quad Kings,DS,2010,Racing,Storm City Games,0.1,0.0,0.0,0.01,0.11,Bajo
Naruto Shippuden: Naruto vs. Sasuke,DS,2008,Action,Takara Tomy,0.08,0.0,0.03,0.01,0.11,Bajo
DualPenSports,3DS,2011,Sports,Namco Bandai Games,0.05,0.05,0.0,0.01,0.11,Bajo
Project: Snowblind,XB,2005,Action,Eidos Interactive,0.08,0.02,0.0,0.0,0.11,Bajo
Astro Boy: The Video Game,PS2,2009,Action,D3Publisher,0.05,0.04,0.0,0.01,0.11,Bajo
HOP,DS,2011,Platform,505 Games,0.09,0.01,0.0,0.01,0.11,Bajo
Brave Story: New Traveler (US sales),PSP,2006,Role-Playing,Sony Computer Entertainment,0.11,0.0,0.0,0.0,0.11,Bajo
Disney's Extreme Skate Adventure,XB,2003,Sports,Activision,0.08,0.02,0.0,0.0,0.11,Bajo
Tales of Phantasia (PS1 & PSP Versions),PSP,2006,Role-Playing,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,Bajo
Kouchuu Ouja Mushi King: Super Collection,DS,2007,Action,Sega,0.0,0.0,0.11,0.0,0.11,Bajo
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,GC,2003,Action,THQ,0.09,0.02,0.0,0.0,0.11,Bajo
Pac-Man World 2,GBA,2005,Action,Zoo Digital Publishing,0.08,0.03,0.0,0.0,0.11,Bajo
Yoostar2,PS3,2011,Misc,Unknown,0.04,0.05,0.0,0.02,0.11,Bajo
Avatar: The Last Airbender,PSP,2006,Adventure,THQ,0.1,0.0,0.0,0.01,0.11,Bajo
Odama,GC,2006,Misc,Nintendo,0.07,0.02,0.02,0.0,0.11,Bajo
Karaoke Revolution Presents American Idol Encore,X360,2008,Misc,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11,Bajo
FlatOut: Ultimate Carnage,X360,2007,Racing,Empire Interactive,0.07,0.03,0.0,0.01,0.11,Bajo
Mobile Light Force 2,PS2,2002,Shooter,Taito,0.05,0.04,0.0,0.01,0.11,Bajo
Naval Ops: Warship Gunner,PS2,2003,Simulation,Tecmo Koei,0.05,0.04,0.0,0.01,0.11,Bajo
Soma Bringer,DS,2008,Role-Playing,Nintendo,0.0,0.0,0.11,0.0,0.11,Bajo
"Sesame Street: Ready, Set, Grover!",Wii,2011,Misc,Warner Bros. Interactive Entertainment,0.1,0.0,0.0,0.01,0.11,Bajo
Shin Sangoku Musou 6 Special,PSP,2011,Action,Tecmo Koei,0.0,0.0,0.11,0.0,0.11,Bajo
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,X360,2011,Action,THQ,0.07,0.03,0.0,0.01,0.11,Bajo
Go! Sudoku (JP sales),PSP,2005,Puzzle,Sony Computer Entertainment,0.0,0.0,0.11,0.0,0.11,Bajo
EA Replay,PSP,2006,Action,Electronic Arts,0.09,0.0,0.0,0.01,0.11,Bajo
Paws & Claws Pet Vet: Australian Adventures,DS,2009,Simulation,THQ,0.1,0.0,0.0,0.01,0.11,Bajo
Bionicle Heroes,GC,2006,Shooter,Eidos Interactive,0.08,0.02,0.0,0.0,0.11,Bajo
Trauma Center: Under the Knife 2,DS,2008,Simulation,Atlus,0.1,0.0,0.0,0.01,0.11,Bajo
Puss in Boots,DS,2011,Action,THQ,0.09,0.01,0.0,0.01,0.11,Bajo
Split/Second,PSP,2010,Racing,Disney Interactive Studios,0.07,0.02,0.0,0.02,0.11,Bajo
The Croods: Prehistoric Party!,Wii,2013,Misc,D3Publisher,0.03,0.07,0.0,0.01,0.11,Bajo
The King of Fighters 2000/2001,PS2,2003,Fighting,Ignition Entertainment,0.05,0.04,0.0,0.01,0.11,Bajo
Lunacy,SAT,1996,Adventure,Sega,0.0,0.0,0.11,0.0,0.11,Bajo
Batman & Robin,PS,1998,Action,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.11,Bajo
Snowboard Kids 2,N64,1999,Sports,Atlus,0.09,0.02,0.0,0.0,0.11,Bajo
Tonic Trouble,N64,1999,Platform,Ubisoft,0.09,0.02,0.0,0.0,0.11,Bajo
Nuclear Strike 64,N64,1999,Simulation,THQ,0.09,0.02,0.0,0.0,0.11,Bajo
Chameleon Twist,N64,1997,Platform,Sunsoft,0.09,0.02,0.0,0.0,0.11,Bajo
Top Gear Rally 2,N64,1999,Racing,Kemco,0.09,0.02,0.0,0.0,0.11,Bajo
Chopper Attack,N64,1997,Action,GT Interactive,0.09,0.02,0.0,0.0,0.11,Bajo
Vigilante 8: 2nd Offense,N64,2000,Racing,Activision,0.09,0.02,0.0,0.0,0.11,Bajo
Fighting Force 64,N64,1999,Action,Crave Entertainment,0.09,0.02,0.0,0.0,0.11,Bajo
Thief (2014),PC,2014,Action,Square Enix,0.0,0.09,0.0,0.02,0.11,Bajo
Rock Band: Metal Track Pack,Wii,2009,Misc,MTV Games,0.1,0.0,0.0,0.01,0.11,Bajo
Pac-Man and the Ghostly Adventures 2,PS3,2014,Adventure,Namco Bandai Games,0.05,0.04,0.0,0.02,0.11,Bajo
BlazBlue: Calamity Trigger Portable,PSP,2010,Fighting,PQube,0.07,0.01,0.03,0.01,0.11,Bajo
Night at the Museum: Battle of the Smithsonian,X360,2009,Action,Majesco Entertainment,0.07,0.03,0.0,0.01,0.11,Bajo
Street Fighter Collection,SAT,1996,Fighting,Capcom,0.0,0.0,0.11,0.0,0.11,Bajo
Ninja Assault,PS2,2002,Shooter,Namco Bandai Games,0.05,0.04,0.0,0.01,0.11,Bajo
Tales of Berseria,PS3,2016,Role-Playing,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,Bajo
Samurai Warriors 4,PSV,2014,Action,Tecmo Koei,0.0,0.0,0.11,0.0,0.11,Bajo
GunGriffon Blaze,PS2,2000,Simulation,Swing! Entertainment,0.05,0.04,0.0,0.01,0.11,Bajo
Higurashi no Naku Koro ni Matsuri,PS2,2007,Adventure,Alchemist,0.0,0.0,0.11,0.0,0.11,Bajo
Frontier Gate,PSP,2011,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11,Bajo
Transformers: Devastation,PS3,2015,Action,Activision,0.03,0.07,0.0,0.02,0.11,Bajo
Top Angler: Real Bass Fishing,PS2,2002,Sports,Xicat Interactive,0.05,0.04,0.0,0.01,0.11,Bajo
Gabrielle's Ghostly Groove 3D,3DS,2011,Adventure,Funbox Media,0.08,0.02,0.0,0.01,0.11,Bajo
Michael Phelps: Push the Limit,X360,2011,Sports,505 Games,0.09,0.01,0.0,0.01,0.11,Bajo
Breakout,PS,1999,Puzzle,Hasbro Interactive,0.06,0.04,0.0,0.01,0.11,Bajo
Frogger: Helmet Chaos,PSP,2005,Platform,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11,Bajo
AKB48+Me,3DS,2012,Action,Unknown,0.0,0.0,0.11,0.0,0.11,Bajo
Touch Detective 2 1/2,DS,2007,Adventure,505 Games,0.09,0.0,0.01,0.01,0.11,Bajo
Alias,PS2,2004,Action,Acclaim Entertainment,0.05,0.04,0.0,0.01,0.11,Bajo
Planet 51,X360,2009,Action,Sega,0.07,0.03,0.0,0.01,0.11,Bajo
Call of Juarez: The Cartel,PC,2011,Shooter,Ubisoft,0.05,0.05,0.0,0.01,0.11,Bajo
Sakura Taisen Hanagumi Tsuushin,SAT,1997,Misc,Sega,0.0,0.0,0.11,0.0,0.11,Bajo
Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen,GBA,2004,Adventure,Nintendo,0.0,0.0,0.11,0.0,0.11,Bajo
Tornado Outbreak,Wii,2009,Action,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11,Bajo
Pimp My Ride,X360,2006,Racing,Activision,0.1,0.01,0.0,0.01,0.11,Bajo
Michael Jackson: The Experience,PSV,2011,Misc,Ubisoft,0.05,0.04,0.0,0.02,0.11,Bajo
Astro Boy: The Video Game,Wii,2009,Action,D3Publisher,0.1,0.0,0.0,0.01,0.11,Bajo
Outlaw Golf: Nine Holes of Christmas,XB,2002,Sports,Simon & Schuster Interactive,0.08,0.02,0.0,0.0,0.11,Bajo
NHL Rivals 2004,XB,2003,Sports,Microsoft Game Studios,0.08,0.02,0.0,0.0,0.11,Bajo
X-Men: Next Dimension,XB,2002,Fighting,Activision,0.08,0.02,0.0,0.0,0.11,Bajo
Tyco RC: Assault with a Battery,PS,1999,Racing,Syscom,0.06,0.04,0.0,0.01,0.11,Bajo
Felony 11-79,PS,1997,Racing,ASCII Entertainment,0.06,0.04,0.0,0.01,0.11,Bajo
Terraria,PSV,2013,Action,Screenlife,0.0,0.01,0.09,0.0,0.11,Bajo
Classic Road,SNES,1993,Sports,Victor Interactive,0.0,0.0,0.11,0.0,0.11,Bajo
Bust-A-Move DS,DS,2005,Puzzle,505 Games,0.08,0.02,0.0,0.01,0.11,Bajo
Nicktoons: Unite!,DS,2006,Adventure,THQ,0.1,0.0,0.0,0.01,0.11,Bajo
SimAnimals Africa,DS,2009,Simulation,Electronic Arts,0.08,0.02,0.0,0.01,0.11,Bajo
Death Jr.: Root of Evil,Wii,2008,Platform,Eidos Interactive,0.1,0.0,0.0,0.01,0.11,Bajo
One Piece: Burning Blood,PSV,2016,Fighting,Namco Bandai Games,0.0,0.03,0.07,0.01,0.11,Bajo
Panzer Dragoon Saga,SAT,1997,Role-Playing,Sega,0.0,0.0,0.11,0.0,0.11,Bajo
Sonic Generations,PC,2011,Platform,Sega,0.02,0.07,0.0,0.02,0.11,Bajo
Mushroom Men: Rise of the Fungi,DS,2008,Action,SouthPeak Games,0.1,0.0,0.0,0.01,0.11,Bajo
Shining Ark,PSP,2013,Role-Playing,Sega,0.0,0.0,0.11,0.0,0.11,Bajo
The Scorpion King: Rise of the Akkadian,GC,2002,Action,Universal Interactive,0.08,0.02,0.0,0.0,0.11,Bajo
Backyard Baseball '10,Wii,2009,Sports,Atari,0.1,0.0,0.0,0.01,0.11,Bajo
Transformers: Beast Wars Transmetals,PS,2000,Fighting,BAM! Entertainment,0.06,0.04,0.0,0.01,0.11,Bajo
Animal Planet: Vet Life,DS,2009,Simulation,Activision,0.1,0.0,0.0,0.01,0.11,Bajo
My Little Sister Can't Be This Cute Portable,PSP,2012,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,Bajo
Silly Bandz: Play The Craze,DS,2010,Puzzle,Deep Silver,0.1,0.0,0.0,0.01,0.11,Bajo
Charlie and the Chocolate Factory,XB,2005,Adventure,Global Star,0.08,0.02,0.0,0.0,0.11,Bajo
Constantine,PS2,2005,Action,SCi,0.05,0.04,0.0,0.01,0.11,Bajo
Where the Wild Things Are,PS3,2009,Platform,Warner Bros. Interactive Entertainment,0.09,0.01,0.0,0.01,0.11,Bajo
Dynasty Tactics 2,PS2,2003,Strategy,Tecmo Koei,0.05,0.04,0.0,0.01,0.11,Bajo
Real World Golf,PS2,2005,Sports,Valcon Games,0.05,0.04,0.0,0.01,0.11,Bajo
Winter Heat,SAT,1996,Sports,Sega,0.0,0.0,0.11,0.0,0.11,Bajo
Ty the Tasmanian Tiger 2: Bush Rescue,XB,2004,Platform,Electronic Arts,0.08,0.02,0.0,0.0,0.11,Bajo
Digimon Story: Cyber Sleuth,PS4,2016,Role-Playing,Namco Bandai Games,0.0,0.09,0.0,0.02,0.11,Bajo
JU-ON: The Grudge,Wii,2009,Action,Rising Star Games,0.08,0.01,0.01,0.01,0.11,Bajo
Defender,GC,2002,Misc,Midway Games,0.08,0.02,0.0,0.0,0.11,Bajo
Deca Sports DS,DS,2009,Sports,Hudson Soft,0.08,0.02,0.0,0.01,0.11,Bajo
The Polar Express,GC,2004,Adventure,THQ,0.08,0.02,0.0,0.0,0.11,Bajo
BMX XXX,XB,2002,Sports,Acclaim Entertainment,0.08,0.02,0.0,0.0,0.11,Bajo
ATV: Quad Frenzy,DS,2005,Racing,Majesco Entertainment,0.1,0.0,0.0,0.01,0.11,Bajo
Akiba's Trip: Undead & Undressed,PS3,2013,Action,Nippon Ichi Software,0.05,0.01,0.04,0.01,0.11,Bajo
Backyard NFL Football '10,X360,2009,Sports,Atari,0.1,0.0,0.0,0.01,0.11,Bajo
The Godfather: Mob Wars,PSP,2006,Action,Electronic Arts,0.09,0.01,0.0,0.01,0.11,Bajo
Lady Sia,GBA,2001,Platform,TDK Mediactive,0.08,0.03,0.0,0.0,0.11,Bajo
Rock Band: Metal Track Pack,PS2,2009,Misc,MTV Games,0.05,0.04,0.0,0.01,0.11,Bajo
Rocky Balboa,PSP,2007,Sports,Ubisoft,0.01,0.09,0.0,0.01,0.11,Bajo
The Lord of the Rings: Conquest,DS,2009,Action,Electronic Arts,0.09,0.01,0.0,0.01,0.11,Bajo
PriPara Mezase! Idol Grand Prix No.1!,3DS,2015,Misc,Takara Tomy,0.0,0.0,0.11,0.0,0.11,Bajo
National Geographic Challenge!,Wii,2011,Misc,Black Bean Games,0.08,0.02,0.0,0.01,0.11,Bajo
Robotech: Invasion,PS2,2004,Shooter,Global Star,0.05,0.04,0.0,0.01,0.11,Bajo
Hole in the Wall: Deluxe Edition,X360,2011,Misc,Ubisoft,0.1,0.0,0.0,0.01,0.11,Bajo
Dr. Seuss' The Cat in the Hat,XB,2003,Misc,Vivendi Games,0.08,0.02,0.0,0.0,0.11,Bajo
Rogue Warrior,X360,2009,Shooter,Bethesda Softworks,0.09,0.01,0.0,0.01,0.11,Bajo
Irozuki Tingle no Koi no Balloon Trip,DS,2009,Adventure,Nintendo,0.0,0.0,0.11,0.0,0.11,Bajo
Master of the Monster Lair,DS,2007,Role-Playing,Rising Star Games,0.1,0.0,0.0,0.01,0.11,Bajo
Hellboy: The Science of Evil,X360,2008,Action,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11,Bajo
Murdered: Soul Suspect,X360,2014,Action,Square Enix,0.06,0.04,0.0,0.01,0.11,Bajo
X-Men: Destiny,Wii,2011,Action,Activision,0.08,0.02,0.0,0.01,0.11,Bajo
Starsky & Hutch,GC,2003,Racing,BAM! Entertainment,0.08,0.02,0.0,0.0,0.11,Bajo
Final Fantasy I & II,NES,1994,Role-Playing,Square,0.0,0.0,0.11,0.0,0.11,Bajo
Rugby 15,PS4,2015,Sports,Bigben Interactive,0.03,0.06,0.0,0.02,0.11,Bajo
Langrisser IV,SAT,1997,Strategy,NCS,0.0,0.0,0.11,0.0,0.11,Bajo
FoxKids.com Micro Maniacs Racing,PS,2000,Racing,Codemasters,0.06,0.04,0.0,0.01,0.11,Bajo
Cats & Dogs: The Revenge of Kitty Galore,DS,2010,Action,505 Games,0.1,0.0,0.0,0.01,0.11,Bajo
Hexen: Beyond Heretic,PS,1997,Shooter,GT Interactive,0.06,0.04,0.0,0.01,0.11,Bajo
Arcade Party Pak,PS,1999,Misc,Midway Games,0.06,0.04,0.0,0.01,0.11,Bajo
Kotoba no Puzzle: Mojipittan Daijiten,PSP,2004,Puzzle,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,Bajo
Yamaha Supercross,DS,2009,Racing,Zoo Digital Publishing,0.1,0.0,0.0,0.01,0.11,Bajo
Picross 3D 2,3DS,2015,Puzzle,Nintendo,0.0,0.0,0.11,0.0,0.11,Bajo
Hitman Trilogy,PS2,2007,Action,Eidos Interactive,0.05,0.04,0.0,0.01,0.11,Bajo
Dragon Quest & Final Fantasy in Itadaki Street Portable,PSP,2006,Misc,Square Enix,0.0,0.0,0.11,0.0,0.11,Bajo
Tetris Evolution,X360,2007,Puzzle,THQ,0.08,0.02,0.0,0.01,0.11,Bajo
Patapon 2,PSP,2008,Misc,Sony Computer Entertainment,0.0,0.03,0.06,0.01,0.11,Bajo
Cabela's Adventure Camp,PS3,2011,Misc,Activision,0.06,0.03,0.0,0.02,0.11,Bajo
Attack of the Movies 3D,Wii,2010,Shooter,Majesco Entertainment,0.1,0.0,0.0,0.01,0.11,Bajo
Railroad Tycoon II,PS,1999,Strategy,PopTop Software,0.06,0.04,0.0,0.01,0.11,Bajo
Angry Birds Star Wars,WiiU,2013,Strategy,Activision,0.06,0.04,0.0,0.01,0.11,Bajo
Hysteria Hospital: Emergency Ward,DS,2009,Action,Oxygen Interactive,0.1,0.0,0.0,0.01,0.11,Bajo
The Cheetah Girls: Pop Star Sensations,DS,2007,Misc,Disney Interactive Studios,0.1,0.0,0.0,0.01,0.11,Bajo
Transformer: Rise of the Dark Spark,XOne,2014,Action,Activision,0.06,0.03,0.0,0.01,0.11,Bajo
Kirarin * Revolution: Kira Kira Idol Audition,DS,2006,Simulation,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11,Bajo
Ranma 1/2: Akanekodan Teki Hihou,SNES,1993,Role-Playing,TOHO,0.0,0.0,0.11,0.0,0.11,Bajo
The BIGS,PSP,2007,Sports,Take-Two Interactive,0.1,0.0,0.0,0.01,0.11,Bajo
Blades of Time,X360,2012,Action,Konami Digital Entertainment,0.07,0.03,0.0,0.01,0.11,Bajo
My Boyfriend,DS,2008,Simulation,DTP Entertainment,0.1,0.0,0.0,0.01,0.11,Bajo
Scribblenauts Unmasked: A DC Comics Adventure,WiiU,2013,Puzzle,Warner Bros. Interactive Entertainment,0.1,0.0,0.0,0.01,0.11,Bajo
Victory Zone,PS,1995,Misc,Sony Computer Entertainment,0.0,0.0,0.1,0.01,0.11,Bajo
Rengoku: The Tower of Purgatory,PSP,2005,Action,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11,Bajo
Goal Storm '97,PS,1996,Sports,Konami Digital Entertainment,0.01,0.0,0.09,0.01,0.11,Bajo
Paws & Claws: Pet Resort,Wii,2009,Simulation,THQ,0.1,0.0,0.0,0.01,0.11,Bajo
Dynasty Warriors Advance,GBA,2005,Action,Nintendo,0.08,0.03,0.0,0.0,0.11,Bajo
Pachi-Slot Aruze Oukoku 3,PS,2000,Misc,Aruze Corp,0.0,0.0,0.1,0.01,0.11,Bajo
Science Papa,DS,2009,Misc,Activision,0.09,0.01,0.0,0.01,0.11,Bajo
Tournament Pool,Wii,2009,Sports,Destineer,0.1,0.0,0.0,0.01,0.11,Bajo
Cabela's North American Adventures,X360,2010,Sports,Activision,0.1,0.0,0.0,0.01,0.11,Bajo
Aqua Aqua,PS2,2000,Puzzle,3DO,0.05,0.04,0.0,0.01,0.11,Bajo
Viewtiful Joe: Double Trouble!,DS,2005,Action,Capcom,0.08,0.0,0.01,0.01,0.11,Bajo
Tom Clancy's Splinter Cell: Conviction,PC,2010,Action,Ubisoft,0.0,0.08,0.0,0.02,0.11,Bajo
Mega Man Zero 4,GBA,2005,Platform,Capcom,0.08,0.03,0.0,0.0,0.11,Bajo
Black Bass with Blue Marlin,PS,1999,Sports,Starfish,0.06,0.04,0.0,0.01,0.11,Bajo
Mega Man Battle Network 5: Double Team DS (JP sales),DS,2005,Role-Playing,Nintendo,0.0,0.0,0.11,0.0,0.11,Bajo
Utawarerumono: Chiriyukusha e no Komoriuta,PS2,2006,Adventure,Aqua Plus,0.0,0.0,0.11,0.0,0.11,Bajo
Hyper Formation Soccer,PS,1995,Sports,Human Entertainment,0.0,0.0,0.1,0.01,0.11,Bajo
Tiger Woods PGA Tour 06,GC,2005,Sports,Electronic Arts,0.08,0.02,0.0,0.0,0.11,Bajo
Jupiter Strike,PS,1994,Shooter,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.11,Bajo
Sudokuro,DS,2007,Puzzle,Crave Entertainment,0.1,0.0,0.0,0.01,0.11,Bajo
BlazBlue: Continuum Shift II,3DS,2011,Fighting,PQube,0.05,0.01,0.04,0.01,0.11,Bajo
Saigo no Yakusoku no Monogatari,PSP,2011,Role-Playing,Unknown,0.0,0.0,0.11,0.0,0.11,Bajo
The Book of Unwritten Tales,PC,2009,Adventure,HMH Interactive,0.0,0.08,0.0,0.02,0.11,Bajo
Metal Gear Solid Integral,PS,1999,Adventure,Konami Digital Entertainment,0.0,0.0,0.1,0.01,0.11,Bajo
Naruto Shippuden 3D: The New Era,3DS,2011,Action,505 Games,0.0,0.04,0.06,0.01,0.11,Bajo
FIFA World Cup Germany 2006,PSP,2006,Sports,Electronic Arts,0.1,0.0,0.0,0.01,0.11,Bajo
Lego Star Wars: The Force Awakens,X360,2016,Action,Warner Bros. Interactive Entertainment,0.04,0.06,0.0,0.01,0.11,Bajo
Reign of Fire,GC,2002,Shooter,BAM! Entertainment,0.08,0.02,0.0,0.0,0.11,Bajo
Rock Band Track Pack: Classic Rock,PS3,2009,Misc,MTV Games,0.1,0.0,0.0,0.01,0.11,Bajo
Rock Revolution,DS,2008,Misc,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11,Bajo
Big League Sports: Summer,DS,2009,Sports,Activision,0.1,0.0,0.0,0.01,0.11,Bajo
Tom Clancy's HAWX 2,Wii,2010,Action,Ubisoft,0.07,0.03,0.0,0.01,0.11,Bajo
Sakura Wars,DC,2000,Adventure,Sega,0.0,0.0,0.11,0.0,0.11,Bajo
Jampack Volume 14 (RP-T),PS2,2006,Misc,Sony Computer Entertainment,0.05,0.04,0.0,0.01,0.11,Bajo
Pro Yakyuu Team o Tsukurou! 2,DS,2009,Sports,Sega,0.0,0.0,0.11,0.0,0.11,Bajo
Mace Griffin: Bounty Hunter,XB,2003,Shooter,Electronic Arts,0.08,0.02,0.0,0.0,0.11,Bajo
Martian Gothic: Unification,PS,2001,Adventure,Take-Two Interactive,0.06,0.04,0.0,0.01,0.11,Bajo
Woody Woodpecker Racing,PS,1999,Racing,Konami Digital Entertainment,0.06,0.04,0.0,0.01,0.11,Bajo
Final Fantasy XII International Zodiac Job System,PS2,2007,Role-Playing,Square Enix,0.0,0.0,0.11,0.0,0.11,Bajo
Barbie in The 12 Dancing Princesses,DS,2007,Adventure,Activision,0.09,0.01,0.0,0.01,0.11,Bajo
Fight Club,XB,2004,Fighting,Vivendi Games,0.08,0.02,0.0,0.0,0.11,Bajo
Carnage Heart,PS,1995,Strategy,Sony Computer Entertainment,0.01,0.01,0.09,0.01,0.11,Bajo
"Grand Theft Auto: Mission Pack #1, London 1969",PS,1998,Adventure,Take-Two Interactive,0.06,0.04,0.0,0.01,0.11,Bajo
Kamen Rider: Climax Heroes,PS2,2009,Fighting,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,Bajo
Robotics;Notes,PS3,2012,Adventure,5pb,0.0,0.0,0.11,0.0,0.11,Bajo
Total Immersion Racing,PS2,2002,Racing,Empire Interactive,0.05,0.04,0.0,0.01,0.11,Bajo
Virtual Hydlide,SAT,1995,Role-Playing,Sega,0.0,0.0,0.11,0.0,0.11,Bajo
World Series of Poker: Tournament of Champions 2007 Edition,PSP,2006,Misc,Activision,0.1,0.0,0.0,0.01,0.11,Bajo
Tales of the World: Reve Unitia,3DS,2014,Role-Playing,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,Bajo
Karaoke Revolution,PS3,2009,Misc,Konami Digital Entertainment,0.07,0.03,0.0,0.01,0.11,Bajo
Warriors Orochi 3,PSP,2012,Action,Ubisoft Annecy,0.0,0.0,0.11,0.0,0.11,Bajo
The Bachelor: The Videogame,Wii,2010,Misc,Warner Bros. Interactive Entertainment,0.1,0.0,0.0,0.01,0.11,Bajo
Space Invaders,GBA,2002,Shooter,Activision,0.08,0.03,0.0,0.0,0.11,Bajo
BlazBlue: Chrono Phantasma,PSV,2014,Fighting,Arc System Works,0.06,0.0,0.03,0.02,0.11,Bajo
